item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,item_41,item_42,item_43,item_44,item_45,item_46,item_47,item_48
42506,1,430,31.3,4.13,0,0,0,24,0,393,0,0,23,0,150,0,0,50,0,63.2,0,0,14,0,31,0,35.4,0,24,31,896.84,55.39,30.4,39.72,9.54,8.7,88.02,69,12.58,89.68,5.33,31.7,4.19,371.7,150,63.2,31,35.4
42506,2,430,31.7,4.19,0,0,4,18,0,371.7,0,0,22,0,150,0,0,50,0,63.2,0,0,13,0,31,4.5,35.4,0,138,300,896.87,55.83,30.56,40.22,9.66,8.83,88.06,69,12.58,89.68,7.58,31.5,4.05,375.2,150,63.2,31,35.4
42506,3,430,31.5,4.05,0,0,0,17,10,375.2,0,0,17,10,150,0,0,47,15,63.2,0,0,11,12,31,0,35.4,0,179,291,896.85,55.81,30.55,39.8,9.56,8.78,88.04,69,12.59,89.69,5.31,31.6,4.05,389.5,150,63.5,31,35.4
42507,1,430,31.6,4.05,0,0,0,19,0,389.5,0,0,22,0,150,0,0,48,10,63.5,0,15,20,0,31,0,35.4,0,160,278,896.86,55.77,30.51,39.94,9.6,8.84,88.13,69,12.59,89.68,5.31,31.1,4.09,364.6,150,63.5,31,35.4
42507,2,430,31.1,4.09,0,0,0,12.5,15,364.6,0,1.8,18,1.8,150,0,0,49,0,63.5,0,0,18,10,31,0,35.4,0,135,305,896.88,55.96,30.53,40.35,9.7,8.93,88.14,69,12.59,89.68,5.32,31.3,4.06,393,150,63.5,31,35.4
42507,3,430,31.3,4.06,0,0,0,20,5,393,0,0,21,0,150,0,0,40,12,63.5,0,0,25,0,31,0,35.4,0,161,310,896.86,55.79,30.58,40.03,9.62,8.89,88.41,69,12.59,89.69,5.32,31.3,4.05,389.5,155.4,70.6,31,35.4
42508,1,430,31.3,4.05,0,0,0,18,0,389.5,0,0,16.5,0,155.4,0,0,44,10,70.6,0,0,23,0,31,0,35.4,0,156,263,896.85,56.25,30.55,39.86,9.58,8.91,87.59,69,12.58,89.68,5.33,31.3,4.14,378.8,155.4,70.6,31,35.4
42508,2,430,31.3,4.14,0,0,0,12,15,378.8,0,0,12,15,155.4,0,0,46,0,70.6,0,0,21,0,31,0,35.4,0,124,342,896.9,55.89,30.56,40.65,9.77,9.07,87.95,69,12.59,89.69,5.32,31.3,4.11,368.1,155.4,70.6,31,35.4
42508,3,430,31.3,4.11,0,0,0,20,0,368.1,0,0,21,0,155.4,0,0,38,10,70.6,0,0,18,0,31,0,35.4,0,152,326,896.88,55.72,30.51,40.23,9.67,8.96,88.58,69,12.58,89.69,5.31,31.2,4.05,353.9,152.6,69.7,31,35.4
42509,1,430,31.2,4.05,0,0,0,14,0,353.9,0,0,17,0,152.6,0,0,38,10,69.7,0,0,16,0,31,0,35.4,0,175,279,896.85,55.78,30.54,39.8,9.56,8.94,88.08,69,12.58,89.68,5.34,31.4,4.21,357.5,152.6,69.7,31,35.4
42509,2,430,31.4,4.21,0,0,4,17,10,357.5,0,0,12,10,152.6,0,0,38,20,69.7,0,0,13,5,31,0,35.4,0,172,310,896.86,55.84,30.53,40,9.61,8.96,88.12,69,12.59,89.69,5.31,31.4,4,346.8,152.6,69.7,31,35.4
42509,3,430,31.4,4,0,0,0,20,0,346.8,0,0,17,0,152.6,0,0,50,0,69.7,0,0,16,0,31,0,35.4,0,187,276,896.84,55.7,30.6,39.65,9.53,8.87,88.46,69,12.59,89.68,5.32,31.4,3.97,346.8,153.7,69.2,31,35.4
42510,1,430,31.4,3.97,0,0,0,13.5,10,346.8,0,5,0,20,153.7,0,0,40,0,69.2,0,0,14,0,31,0,35.4,0,140,216,896.85,56.15,30.55,39.69,9.54,8.92,88.06,69,12.59,89.68,5.32,31.4,4.07,385.9,153.7,69.2,31,35.4
42510,2,430,31.4,4.07,0,0,0,18,10,385.9,0,0,18,0,153.7,0,0,32,25,69.2,0,0,12,0,31,0,35.4,0,156,290,896.86,56.29,30.54,40.03,9.62,8.96,88.13,69,12.58,89.68,5.32,31.4,4.03,389.5,153.7,69.2,31,35.4
42510,3,430,31.4,4.03,0,0,0,22,0,389.5,0,0,13.5,10,153.7,0,0,50,0,69.2,0,0,10,11,31,0,35.4,0,88,151,896.86,56.09,30.58,39.92,9.6,8.94,88.39,69,12.59,89.68,5.32,31.3,4.19,371.7,152.6,68.1,31,35.5
42513,2,430,31.3,4.19,0,0,4,16,10,371.7,0,0,20,0,152.6,0,0,42,10,68.1,0,0,19,5,31,0,35.5,0.5,96,244,896.9,56.12,30.55,40.69,9.77,9.06,87.11,69,12.58,89.69,6.25,31.3,4.09,393.8,152.6,68.1,31,35.5
42513,3,430,31.3,4.09,0,0,0,19,0,393.8,0,0,16,10,152.6,0,0,44,0,68.1,0,0,22,0,31,0,35.5,0,16,459,896.99,55.87,30.5,42.23,10.14,9.33,87.9,69,12.58,89.7,5.31,31.5,4.12,382.4,156.4,69.4,31,35.5
42514,1,430,31.5,4.12,0,0,0,12,10,382.4,0,0,21,0,156.4,0,0,36,15,69.4,0,0,19,0,31,0,35.5,0,16,391,896.98,56.2,30.48,42.23,10.14,9.37,87.32,69,12.57,89.7,5.33,31.4,4.11,371.7,156.4,69.4,31,35.5
42514,2,430,31.4,4.11,0,0,0,16,10,371.7,0,0,17,0,156.4,0,0,44,0,69.4,0,0,17,5,31,0,35.5,0,168,247,896.85,56.05,30.46,39.74,9.54,8.92,87.5,69,12.58,89.68,7,31.5,4.2,385.9,156.4,69.4,31,35.5
42514,3,430,31.5,4.2,0,0,4,18,10,385.9,0,0,12,10,156.4,0,0,34,10,69.4,0,0,20,0,31,0,35.5,0,127,318,896.89,55.86,30.52,40.44,9.71,9.08,87.62,69,12.58,89.68,5.33,31.6,4.02,378.8,153.4,68.4,31,35.5
42515,1,430,31.6,4.02,0,0,0,22,8,378.8,0,0,18,0,153.4,0,0,38,0,68.4,0,0,18,0,31,0,35.5,0,208,271,896.83,55.93,30.44,39.46,9.48,8.92,87.18,69,12.59,89.68,5.33,31.5,4.02,393,153.4,68.4,31,35.5
42515,2,430,31.5,4.02,0,0,0,22,8,393,0,0,14,12,153.4,0,0,30,22,68.4,0,0,16,0,31,0,35.5,0,170,294,896.86,55.88,30.48,39.94,9.59,9,87.14,69,12.59,89.68,5.33,31.5,4,364.6,153.4,68.4,31,35.5
42515,3,430,31.5,4,0,0,0,23,0,364.6,0,0,21,0,153.4,0,0,42,10,68.4,0,0,13,0,31,0,35.5,0,152,297,896.87,56.26,30.5,40.11,9.63,9.02,87.29,69,12.57,89.69,6.28,31.5,4.04,389.5,154.9,68.1,31,35.5
